('hosup_res/problems/sh-no-bools/Arrow_Order/prob_100__5187892_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_104__5187976_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_105__5188156_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_110__5188250_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_111__5188430_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_132__5189134_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_133__5189292_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_134__5189324_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_135__5189356_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_136__5189450_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_137__5189592_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_138__5189702_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_142__5189794_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_145__5189984_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_146__5190020_1', 'THM')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_147__5190244_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_154__5190334_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_163__5190536_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_164__5190714_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_166__5190860_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_168__5191006_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_172__5191240_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_173__5191454_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_177__5191658_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_178__5191872_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_182__5192164_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_185__5192378_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_187__5192590_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_192__5192798_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_197__5193020_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_202__5193142_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_203__5193236_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_204__5193328_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_206__5193428_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_208__5193520_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_210__5193674_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_212__5193766_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_214__5193948_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_217__5194038_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_218__5194176_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_219__5194304_1', 'THM')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_221__5194466_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_222__5194554_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_224__5194702_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_225__5194848_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_230__5195010_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_232__5195098_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_234__5195342_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_236__5195490_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_237__5195576_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_243__5195674_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_244__5195824_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_246__5195984_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_248__5196128_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_250__5196196_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_251__5196264_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_256__5196402_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_257__5196442_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_258__5196610_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_259__5196736_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_260__5196924_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_261__5197126_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_264__5197310_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_266__5197396_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_267__5197478_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_268__5197588_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_270__5197736_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_272__5197814_1', 'TO')
('hosup_res/problems/sh-no-bools/Arrow_Order/prob_274__5197924_1', 'TO')
